DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:52:11,296,5789,0,83.489,127.566,2894.5,219,633895.5,0,0,23.764,67.126
2025-10-18 05:52:13,296,7874,0,77.49,104.417,3937,219,862203,0,0,20.561,73.808
2025-10-18 05:52:15,296,7870,0,76.111,88.94,3935,219,861765,0,0,17.191,74.997
2025-10-18 05:52:17,296,5346,0,100.8,133.618,2673,219,585387,0,0,14.021,99.039
2025-10-18 05:52:19,296,8499,0,75.336,112.629,4249.5,219,930640.5,0,0,10.458,74.533
2025-10-18 05:52:21,296,9609,0,59.115,117.071,4804.5,219,1052185.5,0,0,12.35,58.56
2025-10-18 05:52:23,296,9100,0,64.694,118.562,4550,219,996450,0,0,1.902,64.195
2025-10-18 05:52:25,296,11650,0,52.515,92.765,5825,219,1275675,0,0,1.25,52.028
2025-10-18 05:52:27,296,12126,0,49.222,81.035,6063,219,1327797,0,0,0.958,48.843
2025-10-18 05:52:29,296,19733,0,30.267,58.09,9866.5,219,2160763.5,0,0,2.137,29.966
2025-10-18 05:52:31,296,21389,0,27.548,37.022,10694.5,219,2342095.5,0,0,0.717,27.277
2025-10-18 05:52:33,296,21336,0,27.614,37.389,10668,219,2336292,0,0,0.635,27.343
2025-10-18 05:52:35,296,21388,0,27.518,36.927,10694,219,2341986,0,0,0.668,27.232
2025-10-18 05:52:37,296,20961,0,28.158,38.063,10480.5,219,2295229.5,0,0,0.72,27.862
2025-10-18 05:52:39,296,20727,0,28.474,38.446,10363.5,219,2269606.5,0,0,0.743,28.178
2025-10-18 05:52:41,296,20347,0,28.983,39.166,10173.5,219,2227996.5,0,0,0.781,28.685
2025-10-18 05:52:43,296,20789,0,28.243,38.031,10394.5,219,2276395.5,0,0,0.725,27.966
2025-10-18 05:52:45,296,20677,0,28.522,38.94,10338.5,219,2264131.5,0,0,0.763,28.22
2025-10-18 05:52:47,296,21173,0,27.82,37.946,10586.5,219,2318443.5,0,0,0.783,27.518
2025-10-18 05:52:49,296,22146,0,26.614,34.897,11073,219,2424987,0,0,0.669,26.344
2025-10-18 05:52:51,296,20523,0,28.695,39.196,10261.5,219,2247268.5,0,0,0.774,28.394
2025-10-18 05:52:53,296,21722,0,27.15,36.914,10861,219,2378559,0,0,0.675,26.872
2025-10-18 05:52:55,296,22138,0,26.597,35.318,11069,219,2424111,0,0,0.666,26.309
2025-10-18 05:52:57,296,21458,0,27.48,40.412,10729,219,2349651,0,0,0.913,27.216
2025-10-18 05:52:59,296,21160,0,27.865,37.795,10580,219,2317020,0,0,0.693,27.572
2025-10-18 05:53:01,296,20784,0,28.298,37.572,10392,219,2275848,0,0,0.705,28.023
