DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2025-10-18 06:32:15,4,21,3,289.667,102.401,10.5,19,199.5,0,0,2.333,156,좋아요 추가,12,0,277.833,97.111,6,16,96,0,0,0.583,51.917,좋아요 취소,9,3,305.444,107.04,4.5,23,103.5,0,0,4.667,294.778
2025-10-18 06:32:17,4,38,0,271.5,97.111,19,19.684,374,0,0,0.211,136.421,좋아요 추가,18,0,284.056,100.744,9,16,144,0,0,0.111,0.111,좋아요 취소,20,0,260.2,92.272,10,23,230,0,0,0.3,259.1
2025-10-18 06:32:19,4,29,0,286.448,84.443,14.5,19.621,284.5,0,0,0.345,131.897,좋아요 추가,14,0,318.857,82.828,7,16,112,0,0,0.071,0.071,좋아요 취소,15,0,256.2,74.077,7.5,23,172.5,0,0,0.6,254.933
2025-10-18 06:32:21,4,40,0,196.025,19.63,20,19.5,390,0,0,0.3,97.7,좋아요 추가,20,0,195.9,20.127,10,16,160,0,0,0.1,0.1,좋아요 취소,20,0,196.15,19.119,10,23,230,0,0,0.5,195.3
2025-10-18 06:32:23,4,33,0,241.788,89.356,16.5,19.394,320,0,0,0.242,122.333,좋아요 추가,17,0,230.529,76,8.5,16,136,0,0,0,0,좋아요 취소,16,0,253.75,100.266,8,23,184,0,0,0.5,252.312
2025-10-18 06:32:25,4,36,0,224.5,69.185,18,19.5,351,0,0,0.278,114.75,좋아요 추가,18,0,218.667,55.342,9,16,144,0,0,0,0,좋아요 취소,18,0,230.333,80.263,9,23,207,0,0,0.556,229.5
2025-10-18 06:32:27,4,35,0,223.743,62.904,17.5,19.6,343,0,0,0.286,112.029,좋아요 추가,17,0,229.235,65.099,8.5,16,136,0,0,0.118,0.118,좋아요 취소,18,0,218.556,60.299,9,23,207,0,0,0.444,217.722
2025-10-18 06:32:29,4,48,0,165.958,9.762,24,19.5,468,0,0,0.271,82.021,좋아요 추가,24,0,167.208,8.337,12,16,192,0,0,0.042,0.042,좋아요 취소,24,0,164.708,10.861,12,23,276,0,0,0.5,164
2025-10-18 06:32:31,4,39,0,212.538,65.487,19.5,19.59,382,0,0,0.205,106.846,좋아요 추가,19,0,216.368,70.566,9.5,16,152,0,0,0,0,좋아요 취소,20,0,208.9,60.042,10,23,230,0,0,0.4,208.35
2025-10-18 06:32:33,4,41,0,193.049,41.071,20.5,19.415,398,0,0,0.146,90.561,좋아요 추가,21,0,199.381,43.946,10.5,16,168,0,0,0.048,0.048,좋아요 취소,20,0,186.4,36.658,10,23,230,0,0,0.25,185.6
2025-10-18 06:32:35,4,46,0,172.435,30.641,23,19.348,445,0,0,0.348,81.913,좋아요 추가,24,0,173.167,28.324,12,16,192,0,0,0.125,0.125,좋아요 취소,22,0,171.636,32.965,11,23,253,0,0,0.591,171.136
2025-10-18 06:32:37,4,40,0,193.725,39.877,20,19.5,390,0,0,0.2,96.4,좋아요 추가,20,0,194,37.08,10,16,160,0,0,0.05,0.05,좋아요 취소,20,0,193.45,42.489,10,23,230,0,0,0.35,192.75
2025-10-18 06:32:39,4,42,0,193.119,40.301,21,19.667,413,0,0,0.357,102.048,좋아요 추가,20,0,190.9,36.727,10,16,160,0,0,0,0,좋아요 취소,22,0,195.136,43.195,11,23,253,0,0,0.682,194.818
2025-10-18 06:32:41,4,50,0,160.66,18.36,25,19.5,487.5,0,0,0.22,79.82,좋아요 추가,25,0,161.12,19.4,12.5,16,200,0,0,0,0,좋아요 취소,25,0,160.2,17.246,12.5,23,287.5,0,0,0.44,159.64
2025-10-18 06:32:43,4,51,0,158.059,21.323,25.5,19.431,495.5,0,0,0.294,76.392,좋아요 추가,26,0,159.885,22.787,13,16,208,0,0,0.038,0.038,좋아요 취소,25,0,156.16,19.505,12.5,23,287.5,0,0,0.56,155.8
2025-10-18 06:32:45,4,32,0,249.719,48.775,16,19.5,312,0,0,0.188,127.625,좋아요 추가,16,0,243.875,41.243,8,16,128,0,0,0,0,좋아요 취소,16,0,255.562,54.668,8,23,184,0,0,0.375,255.25
2025-10-18 06:32:47,4,36,0,217.056,57.122,18,19.5,351,0,0,0.25,108.194,좋아요 추가,18,0,217.222,57.687,9,16,144,0,0,0,0,좋아요 취소,18,0,216.889,56.551,9,23,207,0,0,0.5,216.389
2025-10-18 06:32:49,4,38,0,215.553,40.217,19,19.5,370.5,0,0,0.184,105.974,좋아요 추가,19,0,218.526,40.344,9.5,16,152,0,0,0,0,좋아요 취소,19,0,212.579,39.869,9.5,23,218.5,0,0,0.368,211.947
2025-10-18 06:32:51,4,49,0,160.204,10.424,24.5,19.429,476,0,0,0.204,77.531,좋아요 추가,25,0,161.48,12.394,12.5,16,200,0,0,0.04,0.04,좋아요 취소,24,0,158.875,7.639,12,23,276,0,0,0.375,158.25
2025-10-18 06:32:53,4,39,0,211.308,49.279,19.5,19.59,382,0,0,0.256,109.718,좋아요 추가,19,0,208.105,44.025,9.5,16,152,0,0,0,0,좋아요 취소,20,0,214.35,53.62,10,23,230,0,0,0.5,213.95
2025-10-18 06:32:55,4,41,0,185.976,41.015,20.5,19.415,398,0,0,0.22,87.951,좋아요 추가,21,0,191,41.835,10.5,16,168,0,0,0,0,좋아요 취소,20,0,180.7,39.453,10,23,230,0,0,0.45,180.3
2025-10-18 06:32:57,4,40,0,211.55,51.435,20,19.5,390,0,0,0.25,103.2,좋아요 추가,20,0,216.25,55.007,10,16,160,0,0,0,0,좋아요 취소,20,0,206.85,47.13,10,23,230,0,0,0.5,206.4
2025-10-18 06:32:59,4,34,0,208.265,47.98,17,19.5,331.5,0,0,0.265,100.265,좋아요 추가,17,0,215.765,51.529,8.5,16,136,0,0,0,0,좋아요 취소,17,0,200.765,42.853,8.5,23,195.5,0,0,0.529,200.529
2025-10-18 06:33:01,4,36,0,240.944,133.274,18,19.694,354.5,0,0,0.278,131.167,좋아요 추가,17,0,232.176,113.341,8.5,16,136,0,0,0,0,좋아요 취소,19,0,248.789,148.425,9.5,23,218.5,0,0,0.526,248.526
2025-10-18 06:33:03,4,41,0,198.146,37.075,20.5,19.415,398,0,0,0.146,96.585,좋아요 추가,21,0,197.857,33.583,10.5,16,168,0,0,0,0,좋아요 취소,20,0,198.45,40.416,10,23,230,0,0,0.3,198
2025-10-18 06:33:05,4,40,0,191.2,46.295,20,19.5,390,0,0,0.275,95.675,좋아요 추가,20,0,190.85,41.55,10,16,160,0,0,0,0,좋아요 취소,20,0,191.55,50.595,10,23,230,0,0,0.55,191.35
2025-10-18 06:33:07,4,33,0,243.303,12.154,16.5,19.394,320,0,0,0.182,117.182,좋아요 추가,17,0,244.294,11.866,8.5,16,136,0,0,0,0,좋아요 취소,16,0,242.25,12.367,8,23,184,0,0,0.375,241.688
2025-10-18 06:33:09,4,43,0,190.884,39.808,21.5,19.581,421,0,0,0.116,97.093,좋아요 추가,21,0,191.667,38.994,10.5,16,168,0,0,0,0,좋아요 취소,22,0,190.136,40.556,11,23,253,0,0,0.227,189.773
2025-10-18 06:33:11,4,39,0,202.231,44.711,19.5,19.59,382,0,0,0.231,103.487,좋아요 추가,19,0,202.263,45.86,9.5,16,152,0,0,0,0,좋아요 취소,20,0,202.2,43.591,10,23,230,0,0,0.45,201.8
